global_id,camera,local_track_id,confidence,start_frame,end_frame
2,B,5,1.00,25,91
1,A,1,0.86,12,92
1,B,2,0.86,12,92
2,B,5,1.00,25,92
1,A,1,0.86,12,93
1,B,2,0.86,12,93
2,B,5,1.00,25,93
1,A,1,0.86,12,94
1,B,2,0.86,12,94
2,B,5,1.00,25,94
1,A,1,0.86,12,95
1,B,2,0.86,12,95
2,B,5,1.00,25,95
1,A,1,0.86,12,96
1,B,2,0.86,12,96
2,B,5,1.00,25,96
1,A,1,0.86,12,97
1,B,2,0.86,12,97
2,B,5,1.00,25,97
1,A,1,0.86,12,98
1,B,2,0.86,12,98
2,B,5,1.00,25,98
1,A,1,0.86,12,99
1,A,1,1.00,12,100
1,A,1,1.00,12,101
1,A,1,1.00,12,102
1,A,1,1.00,12,103
1,A,1,1.00,12,104
1,A,1,1.00,12,105
1,A,1,1.00,12,106
1,A,1,1.00,12,107
1,A,1,1.00,12,108
1,A,1,1.00,12,109
1,A,1,1.00,12,110
1,A,1,1.00,12,111
1,A,1,1.00,12,112
1,A,1,1.00,12,113
1,A,1,1.00,12,114
1,A,1,1.00,12,115
1,A,1,1.00,12,116
1,A,1,1.00,12,117
1,A,1,1.00,12,118
1,A,1,1.00,12,119
1,A,1,1.00,12,120
1,A,1,1.00,12,121
1,A,1,1.00,12,122
1,A,1,1.00,12,123
1,A,1,1.00,12,124
1,A,1,1.00,12,125
1,A,1,1.00,12,126
1,A,1,1.00,12,127
1,A,1,1.00,12,128
1,A,1,1.00,12,129
1,A,1,1.00,12,130
1,A,1,1.00,12,131
1,A,1,1.00,12,132
1,A,1,1.00,12,133
1,A,1,1.00,12,134
1,A,1,1.00,12,135
1,A,1,1.00,12,136
1,A,1,1.00,12,137
1,A,1,1.00,12,138
1,A,1,1.00,12,139
1,A,1,1.00,12,140
1,A,1,1.00,12,141
1,A,1,1.00,12,142
1,A,1,1.00,12,143
1,A,1,1.00,12,144
1,A,1,1.00,12,145
1,A,1,1.00,12,146
1,A,1,1.00,12,147
1,A,1,1.00,12,148
1,A,1,1.00,12,149
1,A,1,1.00,12,150
1,A,1,1.00,12,151
1,A,1,1.00,12,152
1,A,1,1.00,12,153
1,A,1,1.00,12,154
1,A,1,1.00,12,155
1,A,1,1.00,12,156
1,A,1,1.00,12,157
1,A,1,1.00,12,158
1,A,1,1.00,12,159
1,A,1,1.00,12,160
1,A,1,1.00,12,161
1,A,1,1.00,12,162
1,A,1,1.00,12,163
1,A,1,1.00,12,164
1,A,1,1.00,12,165
1,A,1,1.00,12,166
1,A,1,1.00,12,167
1,A,1,1.00,12,168
1,A,1,1.00,12,169
1,A,1,1.00,12,170
1,A,1,1.00,12,171
1,A,1,1.00,12,172
1,A,1,1.00,12,173
1,A,1,1.00,12,174
1,A,1,1.00,12,175
1,A,1,1.00,12,176
1,A,1,1.00,12,177
1,A,1,1.00,12,178
1,A,1,1.00,12,179
1,A,1,1.00,12,180
1,A,1,1.00,12,181
1,A,1,1.00,12,182
1,A,1,1.00,12,183
1,A,1,1.00,12,184
1,A,1,1.00,12,185
1,A,1,1.00,12,186
1,A,1,1.00,12,187
1,A,1,1.00,12,188
1,A,1,1.00,12,189
1,A,1,1.00,12,190
1,A,1,1.00,12,191
1,A,1,1.00,12,192
1,A,1,1.00,12,193
1,A,1,1.00,12,194
1,A,1,1.00,12,195
1,A,1,1.00,12,196
1,A,1,1.00,12,197
1,A,1,1.00,12,198
1,A,1,1.00,12,199
1,A,1,1.00,12,200
1,A,1,1.00,12,201
1,A,1,1.00,12,202
1,A,1,1.00,12,203
1,A,1,1.00,12,204
1,A,1,1.00,12,205
1,A,1,1.00,12,206
1,A,1,1.00,12,207
1,A,1,1.00,12,208
1,A,1,1.00,12,209
1,A,1,1.00,12,210
1,A,1,1.00,12,211
1,A,1,1.00,12,212
1,A,1,1.00,12,213
1,A,1,1.00,12,214
1,A,1,1.00,12,215
1,A,1,1.00,12,216
1,A,1,1.00,12,217
1,A,1,1.00,12,218
1,A,1,1.00,12,219
1,A,1,1.00,12,220
